X,CH1,
Second,Volt,
3.32993e-02,2.76e+00,
3.33013e-02,2.76e+00,
3.33033e-02,-7.99e-02,
3.33053e-02,-7.99e-02,
3.33073e-02,2.76e+00,
3.33093e-02,-7.99e-02,
3.33113e-02,2.76e+00,
3.33133e-02,2.76e+00,
3.33153e-02,-7.99e-02,
3.33173e-02,-7.99e-02,
3.33193e-02,2.76e+00,
3.33213e-02,-7.99e-02,
3.33233e-02,4.00e-02,
3.33253e-02,2.76e+00,
3.33273e-02,-7.99e-02,
3.33293e-02,-7.99e-02,
3.33313e-02,2.76e+00,
3.33333e-02,-7.99e-02,
3.33353e-02,4.00e-02,
3.33373e-02,-7.99e-02,
3.33393e-02,2.76e+00,
3.33413e-02,-7.99e-02,
3.33433e-02,2.76e+00,
3.33453e-02,2.72e+00,
3.33473e-02,-7.99e-02,
3.33493e-02,-7.99e-02,
3.33513e-02,2.76e+00,
3.33533e-02,-7.99e-02,
3.33553e-02,2.76e+00,
3.33573e-02,2.76e+00,
3.33593e-02,-7.99e-02,
3.33613e-02,-7.99e-02,
3.33633e-02,2.76e+00,
3.33653e-02,-7.99e-02,
3.33673e-02,4.00e-02,
3.33693e-02,2.76e+00,
3.33713e-02,-7.99e-02,
3.33733e-02,-7.99e-02,
3.33753e-02,2.76e+00,
3.33773e-02,-7.99e-02,
3.33793e-02,4.00e-02,
3.33813e-02,-7.99e-02,
3.33833e-02,2.76e+00,
3.33853e-02,-7.99e-02,
3.33873e-02,2.76e+00,
3.33893e-02,-7.99e-02,
3.33913e-02,4.00e-02,
3.33933e-02,-7.99e-02,
3.33953e-02,2.76e+00,
3.33973e-02,-7.99e-02,
3.33993e-02,2.76e+00,
3.34013e-02,2.76e+00,
3.34033e-02,-7.99e-02,
3.34053e-02,-7.99e-02,
3.34073e-02,2.76e+00,
3.34093e-02,-7.99e-02,
3.34113e-02,4.00e-02,
3.34133e-02,2.76e+00,
3.34153e-02,-7.99e-02,
3.34173e-02,-7.99e-02,
3.34193e-02,2.76e+00,
3.34213e-02,-7.99e-02,
3.34233e-02,4.00e-02,
3.34253e-02,2.76e+00,
3.34273e-02,-7.99e-02,
3.34293e-02,-7.99e-02,
3.34313e-02,2.76e+00,
3.34333e-02,-7.99e-02,
3.34353e-02,4.00e-02,
3.34373e-02,-7.99e-02,
3.34393e-02,2.76e+00,
3.34413e-02,-7.99e-02,
3.34433e-02,2.76e+00,
3.34453e-02,2.76e+00,
3.34473e-02,-7.99e-02,
3.34493e-02,-7.99e-02,
3.34513e-02,2.76e+00,
3.34533e-02,-7.99e-02,
3.34553e-02,2.76e+00,
3.34573e-02,2.76e+00,
3.34593e-02,-7.99e-02,
3.34613e-02,-7.99e-02,
3.34633e-02,2.76e+00,
3.34653e-02,-7.99e-02,
3.34673e-02,4.00e-02,
3.34693e-02,2.76e+00,
3.34713e-02,-7.99e-02,
3.34733e-02,-7.99e-02,
3.34753e-02,2.76e+00,
3.34773e-02,-7.99e-02,
3.34793e-02,4.00e-02,
3.34813e-02,-7.99e-02,
3.34833e-02,2.76e+00,
3.34853e-02,-7.99e-02,
3.34873e-02,2.76e+00,
3.34893e-02,2.72e+00,
3.34913e-02,-7.99e-02,
3.34933e-02,-7.99e-02,
3.34953e-02,2.76e+00,
3.34973e-02,-7.99e-02,
3.34993e-02,2.76e+00,
3.35013e-02,2.76e+00,
3.35033e-02,-7.99e-02,
3.35053e-02,-7.99e-02,
3.35073e-02,2.76e+00,
3.35093e-02,-7.99e-02,
3.35113e-02,4.00e-02,
3.35133e-02,-7.99e-02,
3.35153e-02,2.76e+00,
3.35173e-02,-7.99e-02,
3.35193e-02,2.76e+00,
3.35213e-02,-7.99e-02,
3.35233e-02,4.00e-02,
3.35253e-02,-7.99e-02,
3.35273e-02,2.76e+00,
3.35293e-02,-7.99e-02,
3.35313e-02,2.76e+00,
3.35333e-02,-7.99e-02,
3.35353e-02,4.00e-02,
3.35373e-02,-7.99e-02,
3.35393e-02,2.76e+00,
3.35413e-02,-7.99e-02,
3.35433e-02,2.76e+00,
3.35453e-02,2.76e+00,
3.35473e-02,-7.99e-02,
3.35493e-02,-7.99e-02,
3.35513e-02,2.76e+00,
3.35533e-02,-7.99e-02,
3.35553e-02,4.00e-02,
3.35573e-02,2.76e+00,
3.35593e-02,-7.99e-02,
